project_name,id,type,fromDate,toDate, amount,cumulative
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",1,تعدیل,1402/08/22,1403/06/31,17890589873,17890589873
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",2,تعدیل,1402/08/22,1403/09/30,105217518497,123108108370
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",3,تعدیل,1403/10/01,1403/10/30,32429565712,155537674082
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",4,تعدیل,1403/11/01,1403/11/30,44673750240,200211424322
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",5,تعدیل,1403/12/01,1404/01/31,51676616304,251888040626
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",6,تعدیل,1404/02/01,1404/02/31,59903191541,311791232167
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",7,تعدیل,1404/02/01,1404/02/31,205179005862,516970238029
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",8,تعدیل,1404/03/01,1404/03/31,42498463478,559468701507
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",9,تعدیل,1404/04/01,1404/04/31,55455972140,614924673647
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",10,تعدیل,1404/05/01,1404/05/31,69824115337,684748788984
