id,title,start_date,end_date
1,صادرکننده نمونه ملی سال 96,1396,-
2,صادرکننده نمونه ملی سال 97,1397,-
3,صادرکننده نمونه ملی سال 98,1398,-
4,صادرکننده نمونه ملی سال 99,1399,-
5,تندیس صادر کننده نمونه کشور در سال 1398 بانک توسعه صادرات ایران,1398,-
6,تندیس نمایشگاه بین المللی حمل و نقل و صنایع وابسته سال 1397 (Expo 2018) ,1397,-
7,تندیس و تقدیر نامه صادر کننده نمونه کشور در سال 1396 از توسعه صادرات ایران,1396,-
8,تندیس شرکت های صادرات خدمات فنی ومهندسی و تجهیرات صنعت آب و برق و نیرو,1396/01/01,-
9,تقدیرنامه دبیرکل انجمن صادرکنندگان خدمات فنی و مهندسی ایران جهت صادرکننده‌ی نمونه‌ی ملی,1396,-
10,تقدیر نامه وزارت نیرو به عنوان صادر کننده ملی در بخش آب و برق سال 98,1398,-
11,"تقدیر نامه اتاق بازرگانی،صنایع،معادن و کشاورزی ایران به عنوان صادر کننده نمونه ملی سال 1396",1396,-
12,تقدیر نامه انجمن صادر کنندگان نمونه و برتر ایران به عنوان صادر کننده نمونه ملی1397,1397,-
13,تقدیر نامه وزارت نیرو از مهندس موسوی بابت پروژه احداث سد کارون 3,-,-
14,تقدیر نامه شهرداری کرج بابت احداث پروژه تقاطع غیر همسطح کاج,1394/05/25,-
15,تقدیر نامه وزارت نیرو به صادر کننده پیشرو,1395,-
16,تقدیر نامه بانک سپه,1397,-
17,تقدیر نامه سد و نیروگاه برق آبی راغون تاجیکستان در سال 2018,1397,-
18,تقدیر نامه سد و نیروگاه برق آبی سنگ توده-1 تاجیکستان,1397,-
19,تقدیر نامه احداث جاده شاغون-ذیغر تاجیکستان,-,-
20,تقدیر نامه بخشداری ناحیه ماختارال قزاقستان به خاطر کمک های آریانا در طول وقوع سیل در استان ترکستان,1399,-
21,استاندارد مدیریت کیفیت (ISO 9001:2015),1404/09/25,1407/09/18
22,استاندارد راهنمای مدیریت پروژه (ISO 21502:2020),1404/09/25,1407/09/18
