project_name_fa,project_name_en,project_name_ru,status_fa,status_en,status_ru,location_fa,location_en,location_ru,site_address_fa,site_address_en,site_address_ru,employer_fa,employer_en,employer_ru,contract_amount,currency,start_date,end_date,start_date_fa,end_date_fa
پروژه احداث کانال ساحل سمت راست و کانال آبیارى توپولانگ  کاراتاگسکى در جمهورى ازبکستان,Project for the construction of the Right Bank Canal and the Topolang-Karatagsky Irrigation Canal in the Republic of Uzbekistan,Проект реконструкции правобережного канала и оросительного канала “Топуланг Каратагский” в Республике Узбекистан,پایان یافته,Complete,Завершенный,خارجی,International,Международный,ازبکستان,Uzbekistan,Узбекистан,وزارت کشاورزى و منابع آب جمهورى ازبکستان,Ministry of Agriculture and Water Resources of the Republic of Uzbekistan,Министерство сельского и водного хозяйства Республики Узбекистан,11000000,USD,11/2/2018,9/20/2023,1397/08/11,1402/06/29
پروژه بازسازى کانالهاى الیکالا 1 در جمهورى ازبکستان,Project for the reconstruction of the Elikala-1 canals in the Republic of Uzbekistan,Проект реконструкции каналов “ Эликала 1”  в Республике Узбекистан,پایان یافته,Complete,Завершенный,خارجی,International,Международный,ازبکستان,Uzbekistan,Узбекистан,وزارت کشاورزى و منابع آب جمهورى ازبکستان,Ministry of Agriculture and Water Resources of the Republic of Uzbekistan,Министерство сельского и водного хозяйства Республики Узбекистан,10083377,USD,6/26/2020,7/31/2023,1399/04/06,1402/05/09
احداث راه شاغون-ذیغر در جمهوری تاجیکستان (فاز2),Construction of Shagun-Zighar Road in the Republic of Tajikistan (Phase 2),Строительство дороги Шагун-Зигер в Республике Таджикистан (вторая фаза),پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت حمل‌ونقل و ارتباطات جمهوری تاجیکستان,"Ministry of Transport and Communication,Republic of Tajikistan",Министерство транспорта и коммуникаций Республики Таджикистан,12633438,USD,10/8/2007,4/30/2010,1386/08/16,1389/02/10
احداث راه شاغون-ذیغر در جمهوری تاجیکستان (فاز3),Construction of Shagun-Zighar Road in the Republic of Tajikistan (Phase 3),Строительство дороги Шагун-Зигер в Республике Таджикистан (третья фаза),پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت حمل‌ونقل و ارتباطات جمهوری تاجیکستان,"Ministry of Transport and Communication,Republic of Tajikistan",Министерство транспорта и коммуникаций Республики Таджикистан,16667020,USD,6/26/2011,4/30/2014,1390/04/05,1393/02/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,60000000,TJS,4/14/2010,12/31/2010,1389/01/25,1389/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,352116450,TJS,1/3/2011,12/31/2011,1389/10/13,1390/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,196509000,TJS,1/13/2012,12/31/2012,1390/10/23,1391/10/11
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,39503866,TJS,1/2/2013,12/31/2013,1391/10/13,1392/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,100000000,TJS,2/1/2014,12/31/2014,1392/11/12,1393/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,100000000,TJS,6/4/2015,12/31/2015,1394/03/14,1394/10/10
پروژه سد و نیروگاه راغون,Rogun Dam and Hydropower Plant Project,Проект Рогунской плотины и ГЭС,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,100000000,TJS,1/4/2016,12/31/2016,1394/10/14,1395/10/11
