projectname,contractAmount,currency,image_link
پروژه احداث کانال ساحل سمت راست و کانال آبیارى توپولانگ  کاراتاگسکى در جمهورى ازبکستان,11000000.00,USD,Project/Topo.jpg
پروژه بازسازى کانالهاى الیکالا 1 در جمهورى ازبکستان,10083377.00,USD,Project/elikala.jpg
احداث راه شاغون-ذیغر در جمهوری تاجیکستان (فاز2),12633438.00,USD,Project/Zighar1.jpg
احداث راه شاغون-ذیغر در جمهوری تاجیکستان (فاز3),16667020.00,USD,Project/Zighar2.jpg
پروژه سد و نیروگاه راغون,60000000.00,TJS,Project/Raghon_Phase1.jpg
پروژه سد و نیروگاه راغون,352116450.00,TJS,Project/Raghon_Phase2.jpg
پروژه سد و نیروگاه راغون,196509000.00,TJS,Project/Raghon_Phase3.jpg
پروژه سد و نیروگاه راغون,39503866.00,TJS,Project/Raghon_Phase4.jpg
پروژه سد و نیروگاه راغون,100000000.00,TJS,Project/Raghon_Phase5.jpg
پروژه سد و نیروگاه راغون,100000000.00,TJS,Project/Raghon_Phase6.jpg
پروژه سد و نیروگاه راغون,100000000.00,TJS,Project/Raghon_Phase7.jpg
پروژه سد و نیروگاه راغون,130000000.00,TJS,Project/Raghon_Phase8.jpg
پروژه سد و نیروگاه راغون,170000000.00,TJS,Project/civil.jpg
پروژه سد و نیروگاه راغون,178285298.00,TJS,Project/civil.jpg
پروژه سد و نیروگاه راغون,367009076.00,TJS,Project/civil.jpg
پروژه سد و نیروگاه راغون,308350142.00,TJS,Project/civil.jpg
"عملیات احداث خط راه آهن دوشنبه - قرغان تپه، بخش وحدت- یاوان در جمهورى تاجیکستان",20000000.00,TJS,Project/Gharan.jpg
احداث راه دسترسی به سد راغون,51784640.00,TJS,Project/civil.jpg
عملیات ژئوتکنیک در نیروگاه برق آبى سنگ توده  1 جمهورى تاجیکستان,1000000.00,TJS,Project/Geo.jpg
احداث راه عینى  مست چاه کوهى در جمهورى تاجیکستان,7000000.00,TJS,Project/mastch.jpg
پروژه ساخت لندفیل جدید شهر هرازدان به همراه ساختمان و سازه‌هاى مرتبط در جمهورى ارمنستان,4956782.00,EUR,Project/Landfill.JPG
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 1,552510721.00,AMD,Project/ISMP1.jpg
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 2,1011298284.00,AMD,Project/ISMP2.jpg
پروژه احداث کانال هاى اصلى و درجه دوم تحت پروژه مدرن سازى سیستم آبیارى(ISMP)  در جمهورى ارمنستان- بخش 3,995526865.00,AMD,Project/ISMP3.jpg
پروژه طرح و ساخت پل مرزى باگراتاشن بین ارمنستان و گرجستان,7393348.00,EUR,Project/Road_Are.jpg
